gene,category,subcategory
RBP1,Retinal markers (Lu 2020),AC/HC_Precurs
GATM,Retinal markers (Lu 2020),AC/HC_Precurs
GADD45A,Retinal markers (Lu 2020),AC/HC_Precurs
SOX11,Retinal markers (Lu 2020),AC/HC_Precurs
SPATS2L,Retinal markers (Lu 2020),AC/HC_Precurs
ENO1,Retinal markers (Lu 2020),AC/HC_Precurs
HIF1A,Retinal markers (Lu 2020),AC/HC_Precurs
TNNI1,Retinal markers (Lu 2020),AC/HC_Precurs
HSPB1,Retinal markers (Lu 2020),AC/HC_Precurs
THBS3,Retinal markers (Lu 2020),AC/HC_Precurs
KIRREL2,Retinal markers (Lu 2020),AC/HC_Precurs
PTF1A,Retinal markers (Lu 2020),AC/HC_Precurs
RGS16,Retinal markers (Lu 2020),AC/HC_Precurs
PPP1R14A,Retinal markers (Lu 2020),AC/HC_Precurs
ONECUT2,Retinal markers (Lu 2020),AC/HC_Precurs
PPP1R14C,Retinal markers (Lu 2020),AC/HC_Precurs
TRH,Retinal markers (Lu 2020),AC/HC_Precurs
MIF,Retinal markers (Lu 2020),AC/HC_Precurs
KCNE5,Retinal markers (Lu 2020),AC/HC_Precurs
MEST,Retinal markers (Lu 2020),AC/HC_Precurs
SH3BGRL3,Retinal markers (Lu 2020),AC/HC_Precurs
MIAT,Retinal markers (Lu 2020),AC/HC_Precurs
TMSB4X,Retinal markers (Lu 2020),AC/HC_Precurs
ETFB,Retinal markers (Lu 2020),AC/HC_Precurs
BTBD17,Retinal markers (Lu 2020),AC/HC_Precurs
NEUROD4,Retinal markers (Lu 2020),AC/HC_Precurs
TPI1,Retinal markers (Lu 2020),AC/HC_Precurs
PGK1,Retinal markers (Lu 2020),AC/HC_Precurs
GADD45G,Retinal markers (Lu 2020),AC/HC_Precurs
CYB5A,Retinal markers (Lu 2020),AC/HC_Precurs
SLC16A3,Retinal markers (Lu 2020),AC/HC_Precurs
TSC22D1,Retinal markers (Lu 2020),AC/HC_Precurs
LRRN3,Retinal markers (Lu 2020),AC/HC_Precurs
SEC61G,Retinal markers (Lu 2020),AC/HC_Precurs
PARP1,Retinal markers (Lu 2020),AC/HC_Precurs
LDHA,Retinal markers (Lu 2020),AC/HC_Precurs
VAX2,Retinal markers (Lu 2020),AC/HC_Precurs
SOX4,Retinal markers (Lu 2020),AC/HC_Precurs
RNF165,Retinal markers (Lu 2020),AC/HC_Precurs
VIPR2,Retinal markers (Lu 2020),AC/HC_Precurs
DLX1,Retinal markers (Lu 2020),AC/HC_Precurs
LOXL1,Retinal markers (Lu 2020),AC/HC_Precurs
FAM131C,Retinal markers (Lu 2020),AC/HC_Precurs
ALDOA,Retinal markers (Lu 2020),AC/HC_Precurs
TFAP2C,Retinal markers (Lu 2020),AC/HC_Precurs
MGLL,Retinal markers (Lu 2020),AC/HC_Precurs
NHLH1,Retinal markers (Lu 2020),AC/HC_Precurs
DKK3,Retinal markers (Lu 2020),AC/HC_Precurs
BARHL2,Retinal markers (Lu 2020),AC/HC_Precurs
SLCO5A1,Retinal markers (Lu 2020),AC/HC_Precurs
DLX2,Retinal markers (Lu 2020),AC/HC_Precurs
DDIT4,Retinal markers (Lu 2020),AC/HC_Precurs
SEPT11,Retinal markers (Lu 2020),AC/HC_Precurs
SSR4,Retinal markers (Lu 2020),AC/HC_Precurs
PAX6,Retinal markers (Lu 2020),AC/HC_Precurs
SETBP1,Retinal markers (Lu 2020),AC/HC_Precurs
NKD2,Retinal markers (Lu 2020),AC/HC_Precurs
TMSB10,Retinal markers (Lu 2020),AC/HC_Precurs
ACKR3,Retinal markers (Lu 2020),AC/HC_Precurs
PFKFB3,Retinal markers (Lu 2020),AC/HC_Precurs
ST18,Retinal markers (Lu 2020),AC/HC_Precurs
ARRB2,Retinal markers (Lu 2020),AC/HC_Precurs
FDFT1,Retinal markers (Lu 2020),AC/HC_Precurs
CDKN1C,Retinal markers (Lu 2020),AC/HC_Precurs
ELAVL3,Retinal markers (Lu 2020),AC/HC_Precurs
ORAI2,Retinal markers (Lu 2020),AC/HC_Precurs
RBM17,Retinal markers (Lu 2020),AC/HC_Precurs
GAPDH,Retinal markers (Lu 2020),AC/HC_Precurs
TACC2,Retinal markers (Lu 2020),AC/HC_Precurs
MIR7-3HG,Retinal markers (Lu 2020),AC/HC_Precurs
GABARAP,Retinal markers (Lu 2020),AC/HC_Precurs
RASSF4,Retinal markers (Lu 2020),AC/HC_Precurs
APEX1,Retinal markers (Lu 2020),AC/HC_Precurs
PTPRF,Retinal markers (Lu 2020),AC/HC_Precurs
TLE3,Retinal markers (Lu 2020),AC/HC_Precurs
MARCKSL1,Retinal markers (Lu 2020),AC/HC_Precurs
MLLT11,Retinal markers (Lu 2020),AC/HC_Precurs
CXXC5,Retinal markers (Lu 2020),AC/HC_Precurs
PTMA,Retinal markers (Lu 2020),AC/HC_Precurs
STMN2,Retinal markers (Lu 2020),AC/HC_Precurs
STC2,Retinal markers (Lu 2020),AC/HC_Precurs
CORO1C,Retinal markers (Lu 2020),AC/HC_Precurs
RDX,Retinal markers (Lu 2020),AC/HC_Precurs
